ID,Year,Rank,Title,Artist,Source
200607,2006,7,SexyBack,Justin Timberlake,https://genius.com/Justin-timberlake-sexyback-lyrics
200608,2006,8,Check On It,Beyonce Featuring Slim Thug,https://genius.com/Beyonce-check-on-it-lp-version-lyrics
200609,2006,9,Be Without You,Mary J. Blige,https://genius.com/Mary-j-blige-be-without-you-lyrics
200610,2006,10,Grillz,"Nelly, Paul Wall and Ali & Gipp",https://genius.com/Nelly-grillz-lyrics
200501,2005,1,We Belong Together,Mariah Carey,https://genius.com/Mariah-carey-we-belong-together-lyrics
200502,2005,2,Hollaback Girl,Gwen Stefani,https://genius.com/Gwen-stefani-hollaback-girl-lyrics
200503,2005,3,Let Me Love You,Mario,https://genius.com/Mario-let-me-love-you-lyrics
200504,2005,4,Since U Been Gone,Kelly Clarkson,https://genius.com/Kelly-clarkson-since-u-been-gone-lyrics
200505,2005,5,"1, 2 Step",Ciara featuring Missy Elliott,https://genius.com/Ciara-1-2-step-lyrics
200506,2005,6,Gold Digger,Kanye West featuring Jamie Foxx,https://genius.com/Kanye-west-gold-digger-lyrics
200507,2005,7,Boulevard of Broken Dreams,Green Day,https://genius.com/Green-day-boulevard-of-broken-dreams-lyrics
200508,2005,8,Candy Shop,50 Cent featuring Olivia,https://genius.com/50-cent-candy-shop-lyrics
200509,2005,9,Don't Cha,The Pussycat Dolls featuring Busta Rhymes,https://genius.com/The-pussycat-dolls-dont-cha-lyrics
200510,2005,10,Behind These Hazel Eyes,Kelly Clarkson,https://genius.com/Kelly-clarkson-behind-these-hazel-eyes-lyrics
200401,2004,1,Yeah!,Usher featuring Lil Jon and Ludacris,https://genius.com/Usher-yeah-lyrics
200402,2004,2,Burn,Usher,https://genius.com/Usher-burn-lyrics
200403,2004,3,If I Ain't Got You,Alicia Keys,https://genius.com/Alicia-keys-if-i-aint-got-you-lyrics
200404,2004,4,This Love,Maroon 5,https://genius.com/Maroon-5-this-love-lyrics
200405,2004,5,The Way You Move,OutKast featuring Sleepy Brown,https://genius.com/Outkast-the-way-you-move-lyrics
200406,2004,6,The Reason,Hoobastank,https://genius.com/Hoobastank-the-reason-lyrics
200407,2004,7,I Don't Wanna Know,Mario Winans featuring Enya and P. Diddy,https://genius.com/Mario-winans-i-dont-wanna-know-lyrics
200408,2004,8,Hey Ya!,OutKast,https://genius.com/Outkast-hey-ya-lyrics
200409,2004,9,Goodies,Ciara featuring Petey Pablo,https://genius.com/Ciara-goodies-lyrics
200410,2004,10,Lean Back,Terror Squad featuring Fat Joe and Remy Ma,https://genius.com/Terror-squad-lean-back-lyrics
200301,2003,1,In da Club,50 Cent,https://genius.com/50-cent-in-da-club-lyrics
200302,2003,2,Ignition,R. Kelly,https://genius.com/R-kelly-ignition-remix-lyrics
200303,2003,3,Crazy in Love,Beyoncé featuring Jay-Z,https://genius.com/Beyonce-crazy-in-love-lyrics
200304,2003,4,When I'm Gone,3 Doors Down,https://genius.com/3-doors-down-when-im-gone-lyrics
200305,2003,5,Unwell,Matchbox Twenty,https://genius.com/Matchbox-twenty-unwell-lyrics
200306,2003,6,Right Thurr,Chingy,https://genius.com/Chingy-right-thurr-lyrics
200307,2003,7,Miss You,Aaliyah,https://genius.com/Aaliyah-miss-you-lyrics
